G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss
uniform,0.1,100,1,0.5,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.25,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.1,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.05,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.025,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.01,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.001,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,0.0001,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,1e-05,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,1e-06,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,1e-07,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,1,1e-08,10,0.1969542766028836,0.0069492103678691,6.361529649867837e-05,1.6127062803240798e-06,2.565434174950365e-05,0.0001225878973039,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.5,10,0.1969687568552839,0.0069230344966754,7.572260584423455e-05,1.1333957619370118e-05,4.01345941497877e-05,0.0001430226203707,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.25,10,0.1970067212056706,0.0068997354944139,0.0001121330152632,3.070260157905635e-05,7.809894453642275e-05,0.0002042454561026,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.1,10,0.1972615961308937,0.0068485989543943,0.0003669535760244,0.000153078984975,0.0003329738697595,0.0004641153901325,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.05,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.025,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.01,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.001,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,0.0001,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,1e-05,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,1e-06,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,1e-07,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,2,1e-08,10,0.1974916950990321,0.0068352751190695,0.0005781818748879,0.0002613584277206,0.0005630728378979,0.0005982659803243,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.5,10,0.1971597303764114,0.0070474989328422,0.0001443322947719,5.377666975500682e-05,0.0002311081152773,0.0003185330765009,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.25,10,0.1975385151472394,0.0071811052520743,0.0004044171498708,0.0002286413020376,0.0006098928861052,0.000697343057842,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.1,10,0.1995867732922721,0.0079329647901894,0.002177875401751,0.0014252595896056,0.0026581510311379,0.002382542496962,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.05,10,0.2016800865319043,0.009233082230401,0.0041223910372564,0.0031292014912839,0.0047514642707701,0.0046128841612671,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.025,10,0.2023649043216951,0.0102553102195641,0.0047198740511745,0.0042756065428322,0.005436282060561,0.0060466179635131,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.01,10,0.202928916872864,0.011450218111103,0.0052173621852928,0.0055474153427549,0.0060002946117298,0.007523212272038,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.001,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,0.0001,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,1e-05,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,1e-06,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,1e-07,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,3,1e-08,10,0.2032593936540166,0.0122051192238654,0.0055028752288036,0.0063210507026898,0.0063307713928824,0.0084261335614476,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.5,10,0.1973196548641883,0.0070937026107276,0.0003378869854309,9.402447493581972e-05,0.000391032603054,0.0003749905733875,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.25,10,0.1982216203135955,0.0072907645998867,0.001167298873998,0.0003335079485146,0.0012929980524613,0.0008318060873432,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.1,10,0.2036795104799142,0.0084358012299395,0.0065337967897177,0.0018608154700782,0.00675088821878,0.0028001389022181,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.05,10,0.210046356829001,0.0106937013800075,0.0132338349304327,0.0042594888777584,0.0131177345678668,0.0054458270164101,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.025,10,0.2141759856595097,0.0139159352311128,0.0177730173003575,0.0074859756731162,0.0172473633983755,0.008771157349871,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.01,10,0.2198786145474061,0.022160971866555,0.0242018221676754,0.0171198731755365,0.0229499922862719,0.01760352589072,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.001,10,0.2362153824086684,0.0583048745938043,0.0415715555218968,0.0559546405108539,0.0392867601475342,0.0550705621306726,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,0.0001,10,0.2356212717295743,0.0581756721062126,0.0428766000212444,0.061245522420598,0.0386926494684402,0.0550270573413953,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,1e-05,10,0.2340304810358383,0.0541147381897695,0.0405978887961521,0.0557786940568613,0.0371018587747041,0.0508901168783501,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,1e-06,10,0.2319911171269209,0.0483671812220765,0.038961946924036,0.0510179795902456,0.0350624948657867,0.0449679097702987,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,1e-07,10,0.2359208792188911,0.0595084848417462,0.0412243710946766,0.0576083431553319,0.038992256957757,0.0564170835384459,0.1969286222611341,0.0070119344347944
uniform,0.1,100,4,1e-08,10,0.2338113848760072,0.0534933170470597,0.0402124299290216,0.0546546361518587,0.036882762614873,0.0502516227465718,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.5,10,0.1977964493853613,0.0070525169461926,0.0009148422456787,0.0004075236946462,0.0008678271242271,0.0005664722998189,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.25,10,0.2003055429623667,0.0073938904180168,0.0034903625028991,0.0015648390594381,0.0033769207012325,0.0015382248620383,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.1,10,0.2152414424637431,0.0111305062199505,0.0190234999461556,0.0077611781707092,0.0183128202026089,0.0072128944894566,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.05,10,0.2363700473465157,0.0200874335274929,0.0411902902800097,0.0179650069558548,0.0394414250853815,0.017052803117786,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.025,10,0.2609219832095286,0.0366878870653507,0.0672241280810577,0.0352477756975352,0.0639933609483944,0.0340845089125302,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.01,10,0.3098057933057688,0.0770221103050414,0.1190071657341853,0.0769662117796742,0.1128771710446346,0.07440544275189,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.001,10,0.368855930515833,0.1258677337170716,0.1829633868373032,0.1286683154146772,0.1719273082546988,0.1231290217118344,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,0.0001,10,0.366440734705466,0.1233175650017033,0.1825341254409498,0.1272454083455467,0.1695121124443319,0.1206966661997688,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,1e-05,10,0.3692618919104372,0.1221686698626727,0.1840917061625269,0.1248578973685209,0.1723332696493031,0.1192839816625393,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,1e-06,10,0.3652220114427172,0.123884423375619,0.1799598296374544,0.1267636084289455,0.168293389181583,0.1212807132789331,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,1e-07,10,0.3675447400072384,0.1191997179024342,0.18233168935321,0.1242154579620379,0.1706161177461042,0.1162266261777192,0.1969286222611341,0.0070119344347944
uniform,0.1,100,5,1e-08,10,0.3702891154245712,0.1185358435552252,0.1856002502230124,0.1247790377640561,0.173360493163437,0.1155059710569729,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.5,10,0.199071588356973,0.0070258617983159,0.0018749061518111,0.0005877427586515,0.0021429660958388,0.0008544884044578,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.25,10,0.204700687472242,0.0078388872126067,0.0073217070165614,0.0023182965484266,0.0077720652111078,0.0024624983043947,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.1,10,0.2361995858320082,0.0141460161439635,0.038911686150922,0.0103205966142907,0.039270963570874,0.0100669600061033,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.05,10,0.2844961288279045,0.0265347328896567,0.0876102412877881,0.0240838680112566,0.0875675065667703,0.0228266123239298,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.025,10,0.3535008445159593,0.054479461583459,0.1584017705324588,0.0524390194264798,0.1565722222548251,0.0510532970291961,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.01,10,0.5172097536856237,0.1246603686655632,0.3429012563684469,0.1351096337774927,0.3202811314244895,0.1207590641592836,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.001,10,0.5480992868989154,0.1233769893123174,0.3777058101823271,0.1347134083963825,0.3511706646377812,0.1198560983605572,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,0.0001,10,0.5389247843815543,0.1273674261945956,0.3689689163186028,0.1368145780092139,0.3419961621204201,0.1238365916499127,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,1e-05,10,0.5530727235008027,0.1390282022983032,0.3841731605873791,0.1547048112437925,0.3561441012396685,0.1356194477350616,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,1e-06,10,0.5485645314606022,0.1270597144962715,0.3796625421340519,0.1397395124606235,0.3516359091994679,0.1233159561346343,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,1e-07,10,0.5509030515727348,0.1311491746239605,0.3814105043972131,0.145218344542204,0.3539744293116007,0.127467657314354,0.1969286222611341,0.0070119344347944
uniform,0.1,100,6,1e-08,10,0.5449889700953948,0.1152874906228024,0.3748895282312524,0.1302972002849383,0.3480603478342605,0.1116758872320809,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.5,10,0.2004944686992217,0.0076472268776109,0.0030368125137815,0.0008807245178107,0.0035658464380875,0.0010238701405505,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.25,10,0.2098783291235928,0.009581031579354,0.0120501625005934,0.0035526389438816,0.0129497068624586,0.0035863402077186,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.1,10,0.2598435672375832,0.0196884823354658,0.062078059700204,0.0151103406694974,0.062914944976449,0.0148777528837692,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.05,10,0.3383243467705604,0.0386416606412998,0.1414861853202305,0.035556104173749,0.1413957245094264,0.0348496814310755,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.025,10,0.4689652454852133,0.0840596485767894,0.2760870141739737,0.0829665495488713,0.272036623224079,0.0809662163666214,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.01,10,0.7649230595773321,0.2027009899431472,0.6082015759133444,0.220437531809914,0.5679944373161978,0.2005865716492863,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.001,10,0.7187697688950632,0.1470394277315286,0.5559653737127246,0.1661531170412217,0.521841146633929,0.1445946581960719,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,0.0001,10,0.7187171755588834,0.1552041315152546,0.5588448527800899,0.1644332661310282,0.5217885532977492,0.1522163691438164,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,1e-05,10,0.7304800088952195,0.1663851110369223,0.5668631269042562,0.1778930350518218,0.5335513866340854,0.1636038609824521,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,1e-06,10,0.7277641649886671,0.1476553949828241,0.5611330377858518,0.1535013828209324,0.5308355427275331,0.1449571453518166,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,1e-07,10,0.7303378256734526,0.1614119513356747,0.561644334572563,0.1691401790012435,0.5334092034123186,0.1591403215965153,0.1969286222611341,0.0070119344347944
uniform,0.1,100,7,1e-08,10,0.7378822807497267,0.1607291189249547,0.5761799416881048,0.1758125877385841,0.5409536584885924,0.157860578299374,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.5,10,0.2018415380792151,0.0075996777047685,0.0048927344166846,0.0008471422798406,0.0049129158180809,0.0014590985430099,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.25,10,0.21617286062955,0.0095288448835435,0.0194778113247584,0.0034045179035495,0.0192442383684158,0.0041127368711649,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.1,10,0.2927118483830261,0.0202436434424008,0.0985836150970236,0.0160621949878173,0.0957832261218919,0.0164217194541154,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.05,10,0.425591396971376,0.0433915417645795,0.2364792225150669,0.0411039678367406,0.2286627747102418,0.0401017050905166,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.025,10,0.6807398034280482,0.1030181204416254,0.5059453165004243,0.1077568668864968,0.4838111811669139,0.1000061363229718,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.01,10,1.0706048082447457,0.1411206250122052,0.9502421523448288,0.1482754932638637,0.8736761859836119,0.1410671773127209,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.001,10,0.9680062394293848,0.0859447318725035,0.8393257563518581,0.0927529040153945,0.7710776171682505,0.0852689740615913,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,0.0001,10,0.9667515324996928,0.081618912105947,0.8348603202873361,0.0867518831381013,0.7698229102385586,0.0802415243878838,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,1e-05,10,0.9718978298659356,0.0899363765604862,0.8355793234046267,0.0968606619589545,0.7749692076048013,0.0892236260105386,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,1e-06,10,0.9673144398570646,0.0811095137555421,0.8379335497412391,0.087596639271181,0.7703858175959304,0.0801834139453201,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,1e-07,10,0.9694122212746036,0.0852690293841547,0.8350922052199976,0.0910691775868307,0.7724835990134694,0.0848117177391838,0.1969286222611341,0.0070119344347944
uniform,0.1,100,8,1e-08,10,0.9676005614582032,0.0881385743608018,0.831168661587632,0.0948924893804616,0.7706719391970692,0.087652861999048,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.5,10,0.2048945318081711,0.0076301240314491,0.0079551595530184,0.0011647723912611,0.0079659095470369,0.0022658718680083,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.25,10,0.2281289555889693,0.009914016030623,0.0316378725379166,0.0046866312845999,0.0312003333278351,0.0061185221158563,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.1,10,0.3494230018688171,0.0239577117774169,0.1565557662717632,0.0213762797265946,0.1524943796076829,0.0226971304694359,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.05,10,0.5627391040137297,0.0544449790861109,0.3787516690403307,0.0556801133128889,0.3658104817525954,0.0542465887237262,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.025,10,0.966963733998966,0.1217367275371434,0.815696517236146,0.1338082323472736,0.7700351117378318,0.1221012539733803,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.01,10,1.3466758881461718,0.1070868778053356,1.243368975444034,0.1269729365553332,1.1497472658850378,0.1081429812924672,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.001,10,1.2204856571596303,0.0974693948523089,1.110220138522825,0.1118563376164879,1.0235570348984964,0.0972969655925092,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,0.0001,10,1.2163050477124604,0.0757647549816421,1.1041057010575646,0.0924567700500518,1.0193764254513265,0.0755510484948835,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,1e-05,10,1.2252548167391746,0.0881839367883581,1.1134979643340848,0.1032558960356516,1.0283261944780402,0.0871028307829355,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,1e-06,10,1.2133040335425922,0.0866082909237086,1.0933130035829273,0.0974038943955945,1.0163754112814585,0.0870824522722191,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,1e-07,10,1.2234730581050353,0.1022323962667827,1.1097672239934977,0.114500406822601,1.0265444358439009,0.1017246536971614,0.1969286222611341,0.0070119344347944
uniform,0.1,100,9,1e-08,10,1.2264908431688395,0.0950617186642429,1.1116578155441337,0.107362009279084,1.0295622209077058,0.0936896483305039,0.1969286222611341,0.0070119344347944
