G,sigma2,num_samples,rho_star,median_emp_minus_oracle,mean_emp_minus_oracle,std_emp_minus_oracle
uniform,0.01,100,0.5,-0.00011195833910676925,-0.00019528755655160782,0.0004817821469614073
uniform,0.01,250,0.5,-0.0004698945304879489,-0.0005323556920114978,0.00023367245374922684
uniform,0.01,500,0.5,-0.00036026476779335223,-0.0002556108469294844,0.00032432234005582263
uniform,0.01,1000,0.5,-0.00032455873368677016,-0.0002498528612139093,0.0004917959005835518
1-modal,0.01,100,0.22499999999999998,-0.0025919261965880232,-0.002693081743745764,0.0018829630308839673
1-modal,0.01,250,0.16999999999999998,-0.0025498219730284754,-0.0026170934317784156,0.0013054436932865528
1-modal,0.01,500,0.16999999999999998,-0.0028755354075763566,-0.0026828783934705843,0.0009070133232107234
1-modal,0.01,1000,0.11499999999999999,-0.002785528708473619,-0.002803888349791139,0.0008440432719412031
4-modal,0.01,100,0.06,0.0035583067848760615,0.003162172217913351,0.00210106464385665
4-modal,0.01,250,0.005,0.003070751046703079,0.0028964773116836586,0.000961776201227728
4-modal,0.01,500,0.06,0.0038353572296572847,0.003726703524260599,0.0018668163319433462
4-modal,0.01,1000,0.06,0.0037320725611707456,0.003089852958467557,0.0025236812650989648
equator,0.01,100,0.06,0.005260162750863828,0.005134941986051788,0.0009787477173090796
equator,0.01,250,0.005,0.005567218623424315,0.005601911730214052,0.0007999525378924772
equator,0.01,500,0.06,0.005500712978428195,0.0053293108690729936,0.000515194520726275
equator,0.01,1000,0.005,0.005457578212989958,0.005426172038315812,0.0005852697470237026
uniform,0.1,100,0.5,0.00038008993666370505,0.0015081364641811091,0.0035362158513752447
uniform,0.1,250,0.5,0.0004514572025747787,0.00028147301076349716,0.00206022593522083
uniform,0.1,500,0.5,-0.0021131556579761374,-0.0021647648425640433,0.0029582929056832814
uniform,0.1,1000,0.33499999999999996,-0.001648498390908984,-0.0022839433799989152,0.003659498630716866
1-modal,0.1,100,0.22499999999999998,0.03437450277301183,0.03698469126481109,0.020636385447307563
1-modal,0.1,250,0.06,0.025285213145253976,0.029508602792470095,0.014452987114953493
1-modal,0.1,500,0.06,0.018809937399074595,0.021664843529834003,0.01060682188604366
1-modal,0.1,1000,0.06,0.01567033108343447,0.01652825995990774,0.007508615848078052
4-modal,0.1,100,0.11499999999999999,0.06712338211929103,0.07027788667440026,0.018954033854896777
4-modal,0.1,250,0.06,0.03380817585701562,0.034899387774146105,0.012526095200808704
4-modal,0.1,500,0.06,0.03492393517097922,0.031088604631814527,0.011739373229605913
4-modal,0.1,1000,0.06,0.025520787159981802,0.027948606310740455,0.012100783011639598
equator,0.1,100,0.22499999999999998,0.05944982334397289,0.06068479304211558,0.016219471879631547
equator,0.1,250,0.11499999999999999,0.045468763040728825,0.04673211003649052,0.007787733563402673
equator,0.1,500,0.06,0.025036156688539764,0.024767529736566228,0.007785713125474861
equator,0.1,1000,0.06,0.01432344117953175,0.015303753124480754,0.005612451648735409
uniform,0.2,100,0.5,0.007122551302831737,0.010158368226157222,0.01266822234532336
uniform,0.2,250,0.5,-0.0012060951139846454,-5.230571026086372e-05,0.008711235469297094
uniform,0.2,500,0.5,0.0003303636423910572,0.0002771047848041608,0.004978651113949286
uniform,0.2,1000,0.5,-0.001467434093598785,-0.001857845501180816,0.004753211563780769
1-modal,0.2,100,0.16999999999999998,0.10738210716813132,0.13344397117749116,0.056007993519897784
1-modal,0.2,250,0.06,0.082315665341882,0.0967442976036975,0.03535708495351318
1-modal,0.2,500,0.06,0.06853888891288576,0.07596612327473912,0.03144152863581888
1-modal,0.2,1000,0.06,0.05113206083149224,0.04775395935228506,0.016314237324713272
4-modal,0.2,100,0.28,0.12571687441422866,0.12024347102282504,0.030111641184239434
4-modal,0.2,250,0.16999999999999998,0.0849495231371053,0.08956581904886848,0.030078698260273627
4-modal,0.2,500,0.11499999999999999,0.07570405457308726,0.06825850853233055,0.03725745324779328
4-modal,0.2,1000,0.06,0.05516933587520304,0.0527719371270823,0.026017073273774814
equator,0.2,100,0.5,0.13216067547609933,0.13033548376705392,0.01820942384600923
equator,0.2,250,0.22499999999999998,0.12328105769786003,0.1155813949777312,0.024597008553920708
equator,0.2,500,0.06,0.08593744885443755,0.08811305986755388,0.02647942308920394
equator,0.2,1000,0.06,0.034159591073263634,0.04113139415833108,0.02217214399286399
