G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,1,0.5,0.0870869101316442,0.0031012993874572,0.0380984774226023,0.0017272204453597,0.0521085915877055,0.0030849289412604,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.25,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.1,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.05,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.025,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.01,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.001,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,0.0001,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,1e-05,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,1e-06,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,1e-07,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,1,1e-08,0.0870692600955857,0.0030908671295973,0.0380905447029732,0.0017285018883696,0.052090941551647,0.00307904893447,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.5,0.0639615568772373,0.0021749327267795,0.0196021564143278,0.0008614584592982,0.0289832383332987,0.0020444212143916,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.25,0.0628976031720273,0.0019772564655323,0.0193029698885882,0.0008249843548774,0.0279192846280886,0.0017641120692428,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.1,0.0625243714831738,0.0018272557951288,0.0201324667497742,0.001025975355147,0.0275460529392351,0.0016677867392031,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.05,0.0637121260431015,0.0016830270956276,0.0224178244950203,0.0028578225072732,0.0287338074991629,0.0018609772078009,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.025,0.0683915895852483,0.0037262903522398,0.0255691689519646,0.0035876437940488,0.0334132710413096,0.0035963899136682,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.01,0.0658028870376273,0.0030379545231089,0.023622704650708,0.003160953629938,0.0308245684936887,0.0025069215587893,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,2,0.001,0.0652272692199024,0.0037168533040668,0.022586386398659,0.0028927182439991,0.0302489506759637,0.0026617452582988,0.0349783185439386,0.0013724219691681,10.0
