G,sigma2,mc,Loss Type,Loss
3-modal,0.15200000000000002,0,Naïve,0.14664565366685303
3-modal,0.15200000000000002,1,Naïve,0.16008508922203848
3-modal,0.15200000000000002,2,Naïve,0.13467365757653202
3-modal,0.201,0,Naïve,0.2011120072399839
3-modal,0.201,1,Naïve,0.20052135041730176
3-modal,0.201,2,Naïve,0.2031171866799924
3-modal,0.25,0,Naïve,0.2435726439384032
3-modal,0.25,1,Naïve,0.28356640576114844
3-modal,0.25,2,Naïve,0.25281499308136957
4-modal,0.005,0,Naïve,0.004951302159958159
4-modal,0.005,1,Naïve,0.005122851155290809
4-modal,0.005,2,Naïve,0.0050839408078837385
4-modal,0.054,0,Naïve,0.05129698597104722
4-modal,0.054,1,Naïve,0.05436873058064159
4-modal,0.054,2,Naïve,0.04915280919981782
4-modal,0.10300000000000001,0,Naïve,0.10302796133597326
4-modal,0.10300000000000001,1,Naïve,0.10012617126522558
4-modal,0.10300000000000001,2,Naïve,0.10662633195072616
4-modal,0.15200000000000002,0,Naïve,0.15149096942486448
4-modal,0.15200000000000002,1,Naïve,0.14685554878680113
4-modal,0.15200000000000002,2,Naïve,0.1530502244254934
4-modal,0.201,0,Naïve,0.18606964746204976
4-modal,0.201,1,Naïve,0.20246858319814823
4-modal,0.201,2,Naïve,0.2026727572812901
4-modal,0.25,0,Naïve,0.25088787961187314
4-modal,0.25,1,Naïve,0.2576085299961821
4-modal,0.25,2,Naïve,0.24811260000471388
1-modal,0.005,0,Oracle Denoised,0.007690967630900403
1-modal,0.005,1,Oracle Denoised,0.007957496797842849
1-modal,0.005,2,Oracle Denoised,0.008216026544311944
1-modal,0.054,0,Oracle Denoised,0.028099333289807505
1-modal,0.054,1,Oracle Denoised,0.025035107979049613
1-modal,0.054,2,Oracle Denoised,0.026503359697556753
1-modal,0.10300000000000001,0,Oracle Denoised,0.03433080570283872
1-modal,0.10300000000000001,1,Oracle Denoised,0.03771106938324589
1-modal,0.10300000000000001,2,Oracle Denoised,0.037084906678380165
1-modal,0.15200000000000002,0,Oracle Denoised,0.03860292339640122
1-modal,0.15200000000000002,1,Oracle Denoised,0.03665729238432279
1-modal,0.15200000000000002,2,Oracle Denoised,0.03912206962570724
1-modal,0.201,0,Oracle Denoised,0.04043306305261785
1-modal,0.201,1,Oracle Denoised,0.041610082355646366
1-modal,0.201,2,Oracle Denoised,0.039017108915107374
1-modal,0.25,0,Oracle Denoised,0.04295327944599136
1-modal,0.25,1,Oracle Denoised,0.043603737280640105
1-modal,0.25,2,Oracle Denoised,0.044570641297989926
2-modal,0.005,0,Oracle Denoised,0.00843614273022273
2-modal,0.005,1,Oracle Denoised,0.008575497547943225
2-modal,0.005,2,Oracle Denoised,0.008573566496441839
2-modal,0.054,0,Oracle Denoised,0.026426762376609597
2-modal,0.054,1,Oracle Denoised,0.02765367581498521
2-modal,0.054,2,Oracle Denoised,0.02950398250913624
2-modal,0.10300000000000001,0,Oracle Denoised,0.03457356495772748
2-modal,0.10300000000000001,1,Oracle Denoised,0.03650607863868295
2-modal,0.10300000000000001,2,Oracle Denoised,0.0353040530443581
2-modal,0.15200000000000002,0,Oracle Denoised,0.04389041969647975
2-modal,0.15200000000000002,1,Oracle Denoised,0.045591046588298836
2-modal,0.15200000000000002,2,Oracle Denoised,0.04283876497687545
2-modal,0.201,0,Oracle Denoised,0.05176747691679722
2-modal,0.201,1,Oracle Denoised,0.04154369004093987
2-modal,0.201,2,Oracle Denoised,0.04150235369949928
2-modal,0.25,0,Oracle Denoised,0.05087137682851437
2-modal,0.25,1,Oracle Denoised,0.06017437022788205
2-modal,0.25,2,Oracle Denoised,0.05992238077792733
3-modal,0.005,0,Oracle Denoised,0.008079251473419266
3-modal,0.005,1,Oracle Denoised,0.008388768631684562
3-modal,0.005,2,Oracle Denoised,0.007996375476398424
3-modal,0.054,0,Oracle Denoised,0.02938351420929601
3-modal,0.054,1,Oracle Denoised,0.03129206826505158
3-modal,0.054,2,Oracle Denoised,0.029872023895493982
3-modal,0.10300000000000001,0,Oracle Denoised,0.05219374633747189
3-modal,0.10300000000000001,1,Oracle Denoised,0.04486114275616816
3-modal,0.10300000000000001,2,Oracle Denoised,0.04700621979788794
3-modal,0.15200000000000002,0,Oracle Denoised,0.06397649681550797
3-modal,0.15200000000000002,1,Oracle Denoised,0.08588493858326746
3-modal,0.15200000000000002,2,Oracle Denoised,0.0641570002656106
3-modal,0.201,0,Oracle Denoised,0.11712831402024061
3-modal,0.201,1,Oracle Denoised,0.10933389538917149
3-modal,0.201,2,Oracle Denoised,0.12286430454708645
3-modal,0.25,0,Oracle Denoised,0.18099065440339024
3-modal,0.25,1,Oracle Denoised,0.19621434303129756
3-modal,0.25,2,Oracle Denoised,0.16439536836708368
4-modal,0.005,0,Oracle Denoised,0.007148351915785218
4-modal,0.005,1,Oracle Denoised,0.006769369019779276
4-modal,0.005,2,Oracle Denoised,0.006626796119296461
4-modal,0.054,0,Oracle Denoised,0.011830665333867344
4-modal,0.054,1,Oracle Denoised,0.009635984653134913
4-modal,0.054,2,Oracle Denoised,0.009688369738706484
4-modal,0.10300000000000001,0,Oracle Denoised,0.0425890937332242
4-modal,0.10300000000000001,1,Oracle Denoised,0.034634362044550615
4-modal,0.10300000000000001,2,Oracle Denoised,0.04191395283057498
4-modal,0.15200000000000002,0,Oracle Denoised,0.090019195056738
4-modal,0.15200000000000002,1,Oracle Denoised,0.0860905208800144
4-modal,0.15200000000000002,2,Oracle Denoised,0.09629974594903823
4-modal,0.201,0,Oracle Denoised,0.13919839313840493
4-modal,0.201,1,Oracle Denoised,0.15590978157948654
4-modal,0.201,2,Oracle Denoised,0.15951850718444324
4-modal,0.25,0,Oracle Denoised,0.21426970905313023
4-modal,0.25,1,Oracle Denoised,0.22390854901367413
4-modal,0.25,2,Oracle Denoised,0.20659110852507076
1-modal,0.005,0,Oracle Bayes,0.007908891696807736
1-modal,0.005,1,Oracle Bayes,0.008175751379242712
1-modal,0.005,2,Oracle Bayes,0.008176289835903234
1-modal,0.054,0,Oracle Bayes,0.028098568731763075
1-modal,0.054,1,Oracle Bayes,0.024908202717972797
1-modal,0.054,2,Oracle Bayes,0.026595126679332438
1-modal,0.10300000000000001,0,Oracle Bayes,0.034452704194829216
1-modal,0.10300000000000001,1,Oracle Bayes,0.037465153495881254
1-modal,0.10300000000000001,2,Oracle Bayes,0.037067145737812085
1-modal,0.15200000000000002,0,Oracle Bayes,0.038954962811940094
1-modal,0.15200000000000002,1,Oracle Bayes,0.036427679658443284
1-modal,0.15200000000000002,2,Oracle Bayes,0.03894822439653224
1-modal,0.201,0,Oracle Bayes,0.039255485777298135
1-modal,0.201,1,Oracle Bayes,0.04143125591465642
1-modal,0.201,2,Oracle Bayes,0.038900534299348366
1-modal,0.25,0,Oracle Bayes,0.04343334102421682
1-modal,0.25,1,Oracle Bayes,0.04354741704171667
1-modal,0.25,2,Oracle Bayes,0.044785511724030766
2-modal,0.005,0,Oracle Bayes,0.008611010107784558
2-modal,0.005,1,Oracle Bayes,0.00884975085923092
2-modal,0.005,2,Oracle Bayes,0.008722674198225103
2-modal,0.054,0,Oracle Bayes,0.026564423943741217
2-modal,0.054,1,Oracle Bayes,0.027811600280419346
2-modal,0.054,2,Oracle Bayes,0.029411541849625394
2-modal,0.10300000000000001,0,Oracle Bayes,0.03459510811518248
2-modal,0.10300000000000001,1,Oracle Bayes,0.036596407311520425
2-modal,0.10300000000000001,2,Oracle Bayes,0.03552702900888808
2-modal,0.15200000000000002,0,Oracle Bayes,0.04175584461231174
2-modal,0.15200000000000002,1,Oracle Bayes,0.04265856591279227
2-modal,0.15200000000000002,2,Oracle Bayes,0.04351446399950747
2-modal,0.201,0,Oracle Bayes,0.05758276139584775
2-modal,0.201,1,Oracle Bayes,0.04155780997746436
2-modal,0.201,2,Oracle Bayes,0.041469778341373734
2-modal,0.25,0,Oracle Bayes,0.054427229917662114
2-modal,0.25,1,Oracle Bayes,0.06218285173897481
2-modal,0.25,2,Oracle Bayes,0.058356379877010416
3-modal,0.005,0,Oracle Bayes,0.007812009380365595
3-modal,0.005,1,Oracle Bayes,0.008374548380720243
3-modal,0.005,2,Oracle Bayes,0.00840909407351797
3-modal,0.054,0,Oracle Bayes,0.02967429521432013
3-modal,0.054,1,Oracle Bayes,0.03197364823852147
3-modal,0.054,2,Oracle Bayes,0.029374709802792335
3-modal,0.10300000000000001,0,Oracle Bayes,0.052670956511470655
3-modal,0.10300000000000001,1,Oracle Bayes,0.044776060589023434
3-modal,0.10300000000000001,2,Oracle Bayes,0.04801190129431086
3-modal,0.15200000000000002,0,Oracle Bayes,0.06854010226378698
3-modal,0.15200000000000002,1,Oracle Bayes,0.08449728772778754
3-modal,0.15200000000000002,2,Oracle Bayes,0.06457876830270007
3-modal,0.201,0,Oracle Bayes,0.1190697503966241
3-modal,0.201,1,Oracle Bayes,0.10749037044445342
3-modal,0.201,2,Oracle Bayes,0.12120170712897994
3-modal,0.25,0,Oracle Bayes,0.18495858161253875
3-modal,0.25,1,Oracle Bayes,0.1956818281972473
3-modal,0.25,2,Oracle Bayes,0.16720962024442135
4-modal,0.005,0,Oracle Bayes,0.00706108724563057
4-modal,0.005,1,Oracle Bayes,0.0067674343719961805
4-modal,0.005,2,Oracle Bayes,0.00667574200945235
4-modal,0.054,0,Oracle Bayes,0.011959195773243596
4-modal,0.054,1,Oracle Bayes,0.009275065822385298
4-modal,0.054,2,Oracle Bayes,0.00951418470480411
4-modal,0.10300000000000001,0,Oracle Bayes,0.043120270011000064
4-modal,0.10300000000000001,1,Oracle Bayes,0.03495160699108965
4-modal,0.10300000000000001,2,Oracle Bayes,0.040471597004060535
4-modal,0.15200000000000002,0,Oracle Bayes,0.08915616600599695
4-modal,0.15200000000000002,1,Oracle Bayes,0.08554906885793273
4-modal,0.15200000000000002,2,Oracle Bayes,0.09874805521515642
4-modal,0.201,0,Oracle Bayes,0.1402215088003228
4-modal,0.201,1,Oracle Bayes,0.1546300301399485
4-modal,0.201,2,Oracle Bayes,0.1565088675451018
4-modal,0.25,0,Oracle Bayes,0.21138527784709857
4-modal,0.25,1,Oracle Bayes,0.22213392915966143
4-modal,0.25,2,Oracle Bayes,0.2066459316946441
