G,sigma2,mc,Loss Type,Loss
1-modal,0.005,0,Naïve,0.004900764166705513
1-modal,0.005,1,Naïve,0.00499499082949622
1-modal,0.005,2,Naïve,0.004832492638045909
1-modal,0.054,0,Naïve,0.0580177486482552
1-modal,0.054,1,Naïve,0.051675119560228494
1-modal,0.054,2,Naïve,0.05631216914576831
1-modal,0.10300000000000001,0,Naïve,0.10146637994994816
1-modal,0.10300000000000001,1,Naïve,0.10816532373984022
1-modal,0.10300000000000001,2,Naïve,0.11462856853511437
1-modal,0.15200000000000002,0,Naïve,0.155155506429584
1-modal,0.15200000000000002,1,Naïve,0.15679875038727864
1-modal,0.15200000000000002,2,Naïve,0.13617799001197142
1-modal,0.201,0,Naïve,0.21762506446930352
1-modal,0.201,1,Naïve,0.20032365091177304
1-modal,0.201,2,Naïve,0.1969454951550233
1-modal,0.25,0,Naïve,0.24350063401454686
1-modal,0.25,1,Naïve,0.2949341864079662
1-modal,0.25,2,Naïve,0.25557582654474353
2-modal,0.005,0,Naïve,0.005094118957850859
2-modal,0.005,1,Naïve,0.005451689627062569
2-modal,0.005,2,Naïve,0.005084490368870398
2-modal,0.054,0,Naïve,0.0481645224772916
2-modal,0.054,1,Naïve,0.05310956899535684
2-modal,0.054,2,Naïve,0.051378235594946677
2-modal,0.10300000000000001,0,Naïve,0.10654207406002912
2-modal,0.10300000000000001,1,Naïve,0.10455566329488908
2-modal,0.10300000000000001,2,Naïve,0.09969770730485675
2-modal,0.15200000000000002,0,Naïve,0.14719315614853018
2-modal,0.15200000000000002,1,Naïve,0.1714658535724612
2-modal,0.15200000000000002,2,Naïve,0.162704966443199
2-modal,0.201,0,Naïve,0.20924471048013135
2-modal,0.201,1,Naïve,0.20973510869022896
2-modal,0.201,2,Naïve,0.20712714768630963
2-modal,0.25,0,Naïve,0.24039714029019582
2-modal,0.25,1,Naïve,0.25116821794488786
2-modal,0.25,2,Naïve,0.22943825506882798
3-modal,0.005,0,Naïve,0.0048613573522250045
3-modal,0.005,1,Naïve,0.004657230967968319
3-modal,0.005,2,Naïve,0.005029872905735166
3-modal,0.054,0,Naïve,0.05936240236028269
3-modal,0.054,1,Naïve,0.05556501826935464
3-modal,0.054,2,Naïve,0.05675590162105552
3-modal,0.10300000000000001,0,Naïve,0.11131933699723956
3-modal,0.10300000000000001,1,Naïve,0.10249685055168482
3-modal,0.10300000000000001,2,Naïve,0.09751770671823695
