G,sigma2,NMC,num_samples,rhos_grid,Ms_grid,mean_naive_loss,std_naive_loss,mean_oracle_loss,std_oracle_loss,mean_cv_loss,std_cv_loss,mean_cv_excess_loss,std_cv_excess_loss,mean_cv_displacement,std_cv_displacement,cv_Ms_star,cv_rhos_star
1-modal,0.1,25,100,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.13153176373031128,0.09761042233190055,0.08243818160440936,0.09778066994113921,0.08722895939955963,0.10101925878298397,"[4. 3. 4. 2. 7. 6. 3. 3. 3. 4. 3. 3. 4. 8. 8. 8. 5. 3. 3. 3. 3. 7. 3. 6.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,500,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.09375512466477104,0.02271986137665011,0.04466154253886912,0.022369522037737843,0.04829529880971631,0.023622274013516867,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,1000,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.09362299856336742,0.01592804273532201,0.044529416437465524,0.015919623073036987,0.04837061014255778,0.0168789695090067,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,2500,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.09350502006386603,0.012725623202723097,0.04441143793796413,0.011961998277156221,0.04864306184474906,0.013414501709055395,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,5000,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.09240795710612684,0.016188910257238065,0.043314374980224925,0.016013996800649827,0.04707385580163166,0.017108750356915232,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,7500,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.09151782941366435,0.013433716710980096,0.042424247287762416,0.012893599045841251,0.04632210090881971,0.013966088586917915,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
1-modal,0.1,25,10000,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10017664348771203,0.003729921565783894,0.04909358212590191,0.0016969800596421769,0.0917673144590687,0.0122129571256891,0.0426737323331668,0.011571931764306428,0.046600139847556364,0.012844771252948006,"[3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3. 3.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
2-modal,0.1,25,100,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10011063690365778,0.004693224636946491,0.04241108629793013,0.0017761717250990862,0.11219822289316611,0.05396790090312422,0.06978713659523597,0.05402085039965926,0.07170107645318965,0.056889476003173234,"[3. 7. 3. 8. 5. 2. 7. 7. 8. 7. 3. 6. 2. 3. 3. 4. 7. 8. 7. 7. 2. 5. 6. 8.
 5.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.025 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
2-modal,0.1,25,500,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10011063690365778,0.004693224636946491,0.04241108629793013,0.0017761717250990862,0.06373097853567047,0.009456126896760257,0.021319892237740355,0.008424718979260825,0.02120254198766328,0.009174473795195147,"[3. 3. 3. 2. 3. 5. 6. 2. 2. 2. 5. 2. 2. 2. 3. 2. 2. 3. 3. 5. 3. 4. 3. 3.
 8.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.085 0.015 0.015
 0.015]"
2-modal,0.1,25,1000,"[0.015, 0.025, 0.045, 0.065, 0.085, 0.1, 0.125, 0.15, 0.175, 0.2]",[1 2 3 4 5 6 7 8],0.10011063690365778,0.004693224636946491,0.04241108629793013,0.0017761717250990862,0.06476330528375895,0.005089258422889469,0.022352218985828815,0.004725314240460155,0.021623638798782326,0.004985360728808592,"[3. 2. 3. 8. 2. 3. 3. 2. 3. 3. 3. 2. 3. 3. 3. 2. 2. 5. 3. 3. 2. 3. 5. 5.
 3.]","[0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015 0.015
 0.015]"
